Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,358.40,1.15,21.04,0.00,225.66,1.48,0.04,289.02,88.77,0.00,40.78,50.23,41.17,0.00,159.96,35.83,0.00,0.00,4.62,289.02,124.13,0.00,52.08,52.77,10.00,43.60,8.41,13.87,2.40,12.79,125.58,29.04,65.68,1.86,10.00,14.35,,,24.10,29.93,,,30.12,28.80,,859.77,0.00
Ace Soft. Exp.,531525,,INE849B01010,IT - Software,Software Products,191.00,12.77,15.23,0.00,79.68,5.36,0.37,117.01,45.10,0.00,9.99,59.27,0.00,5.22,39.29,16.79,0.00,1.89,0.00,117.01,22.50,0.00,5.24,9.35,10.00,9.08,0.00,0.37,1.82,1.90,9.93,10.30,18.65,0.00,4.90,6.02,4.02,5.58,1.77,1.72,0.00,0.00,8.35,9.05,4.30,305.95,0.14
Acetech E-Commerce,,ACETEC,INE1J6M01010,Retailing,E-Retail/ E-Commerce,154.95,0.42,,0.00,10.11,,,29.40,,,,0.07,0.00,0.00,29.19,6.87,,,,29.40,22.32,0.00,8.48,18.86,10.00,1.01,,1.79,0.00,,,,,,,,,,,,,,,,,253.87,0.02
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,804.75,142.69,23.82,0.00,1758.70,14.47,1.97,2990.22,894.31,0.00,178.45,761.12,41.85,1071.85,1493.59,1178.60,0.00,483.29,169.22,2990.22,314.99,8.28,612.28,276.23,2.00,34.22,149.54,784.88,11.91,4.46,-21.38,579.56,740.10,43.64,92.74,16.14,14.05,-16.32,31.02,82.41,78.30,137.72,451.68,412.06,337.26,9583.22,0.08
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,527.30,2007.07,109.98,0.00,4398.97,1746.19,87.91,8743.17,4553.25,0.00,902.31,3987.31,1834.29,1459.84,1252.77,2058.45,0.00,0.00,44.80,8743.17,-805.68,85.90,105.71,475.34,1.00,484.13,20.86,275.65,109.98,1557.25,-778.27,3174.02,3874.98,1502.38,-1102.44,-33.02,221.26,,1035.16,428.27,1344.70,,1732.98,1198.01,896.72,57993.00,0.45
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1225.00,0.00,4.60,0.00,72.41,0.00,0.00,104.70,5.34,0.00,2.58,3.23,0.00,0.00,96.55,27.18,0.00,0.00,2.75,104.70,69.37,0.00,13.63,26.33,10.00,55.58,0.00,23.69,0.46,0.00,64.09,2.79,5.15,0.00,43.81,31.64,38.65,30.41,0.00,0.16,0.00,0.00,3.03,3.70,3.65,563.51,0.00
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,107.00,0.84,22.50,0.00,72.58,0.00,0.94,105.88,1.57,0.00,0.46,2.59,0.00,1.22,85.56,9.66,0.00,0.00,0.51,105.88,75.90,0.84,0.00,44.68,10.00,36.61,0.00,7.37,0.00,0.00,12.45,0.28,0.61,0.00,0.77,1.27,,,0.00,0.00,,,0.28,0.15,,240.75,0.01
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,170.90,12.08,21.97,0.00,506.90,8.75,50.48,676.70,279.15,0.00,93.40,192.50,59.98,12.29,396.23,79.25,5.00,60.72,12.12,676.70,316.98,3.33,109.07,114.37,2.00,85.24,1.75,50.46,10.99,55.86,221.20,182.33,257.24,5.11,204.32,100.45,87.76,47.57,69.92,23.16,1.40,18.01,160.20,77.20,80.01,1877.55,0.02
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,918.45,68.75,144.34,0.00,3419.81,0.00,68.06,3954.84,227.30,0.00,120.62,113.48,3.89,3511.08,210.01,215.36,3691.69,0.00,106.07,3954.84,-5.35,68.75,0.00,59.36,5.00,113.77,0.00,84.22,28.81,79.09,74.41,110.82,197.00,1.94,80.04,42.91,9.65,,54.37,62.08,70.04,,72.07,86.19,89.93,26525.38,0.02
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,1695.50,127.57,11.76,0.00,1574.76,411.49,45.82,3373.10,819.95,0.00,80.29,785.25,47.96,0.53,2472.84,1685.54,0.00,0.52,137.54,3373.10,787.30,59.74,948.22,1053.91,1.00,236.51,9.73,1424.28,0.20,436.27,368.13,70.31,99.77,15.50,231.69,117.72,,,189.93,268.61,,,54.55,65.97,,19972.64,0.08
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,894.20,1.97,17.40,0.00,475.11,1.09,1.32,723.66,424.30,0.00,227.67,203.64,3.31,37.18,446.44,213.94,0.00,8.39,112.01,723.66,232.50,0.99,143.89,198.06,10.00,48.48,2.30,153.67,1.36,44.69,211.92,157.15,376.83,25.37,106.13,87.16,118.73,84.74,2.21,81.91,81.32,0.49,117.47,125.47,103.32,1556.16,0.00
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrial Products,Cables - Electricals,1645.90,62.16,10.94,0.00,218.34,64.46,7.49,549.09,61.37,0.00,11.79,39.79,2.66,22.55,449.91,249.27,0.05,0.00,215.28,549.09,200.64,6.16,16.50,227.02,10.00,125.70,19.52,179.31,1.02,59.17,30.83,41.53,52.52,1.07,14.98,8.84,,,8.51,9.89,,,14.96,17.54,,1800.18,0.27
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,93.30,85.33,64.28,0.00,138.48,79.24,1.21,528.68,88.39,0.00,22.50,69.06,15.27,0.00,442.85,329.84,0.00,0.00,1.53,528.68,113.01,1.92,104.32,269.81,10.00,59.67,0.00,238.82,0.45,45.46,37.89,40.21,55.10,9.43,21.71,,,,21.20,,,,17.13,,,599.77,0.47
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,Biotechnology,266.20,34.66,22.39,0.00,1462.17,21.54,17.81,1691.90,965.78,0.00,287.11,682.97,31.03,529.34,933.46,106.73,0.00,480.26,9.31,1691.90,826.73,15.01,173.42,125.28,2.00,76.42,6.29,29.30,11.18,47.31,300.54,649.75,902.23,41.10,442.07,192.50,111.87,-21.80,34.74,27.80,66.77,115.03,619.11,562.87,491.29,2979.47,0.02
Advani Hotels.,523269,ADVANIHOTR,INE199C01026,Leisure Services,Hotels & Resorts,51.07,0.43,18.49,0.00,56.08,0.00,0.53,113.37,66.95,0.00,22.47,43.21,0.21,23.15,65.69,32.19,0.00,0.00,9.32,113.37,33.50,0.35,1.92,0.69,2.00,30.37,8.10,2.15,9.24,1.86,12.87,44.49,65.11,0.00,-12.34,-5.49,5.18,-4.70,0.90,1.37,0.73,14.84,42.53,47.15,50.78,472.07,0.01
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,599.20,2438.78,35.10,0.00,5906.25,2229.07,2376.97,12050.21,5875.69,0.00,789.48,6389.80,435.64,925.37,3744.02,1239.61,0.00,0.00,225.08,12050.21,2504.41,1696.90,114.95,538.52,1.00,2389.13,46.56,439.25,35.10,2665.43,1612.47,4139.27,4758.14,697.15,16.39,79.93,-222.14,46.73,835.31,253.09,304.03,218.09,2375.81,1698.71,1282.38,21031.92,0.41
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,178.95,2004.38,1107.99,0.00,3634.03,2084.60,1924.78,7072.44,5145.66,0.00,545.49,6268.22,138.98,0.00,325.65,312.38,0.00,0.00,57.56,7072.44,13.27,1564.81,11.33,132.41,10.00,56.29,12.08,18.00,0.10,3273.04,154.59,3490.55,3882.39,53.08,7.24,,,,98.26,,,,19.53,,,19827.51,0.42
Aelea Commoditi.,544213,,INE0T3401029,Agricultural Food & other Products,Other Agricultural Products,124.85,1.33,20.37,0.00,91.50,11.95,0.00,231.16,52.79,4.20,4.14,73.09,0.01,0.01,154.91,116.25,0.01,0.00,0.00,231.16,38.66,0.00,90.12,48.20,10.00,3.46,0.72,101.38,1.50,40.77,24.78,38.56,41.87,0.40,9.42,,,,21.31,,,,10.27,,,254.32,0.01
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,224.25,9.30,25.86,0.00,334.07,0.58,0.00,469.31,262.65,0.00,90.84,174.90,25.08,0.00,264.00,99.55,0.00,0.00,0.00,469.31,164.45,8.84,72.25,123.31,2.00,28.53,4.82,75.00,12.93,0.12,199.04,82.97,160.80,5.42,53.73,40.90,,,39.13,63.46,,,46.11,44.39,,2967.52,0.03
Aeroflex Enter.,511076,AEROENTER,INE065D01027,Industrial Products,Iron & Steel Products,69.03,46.10,22.62,0.00,707.38,26.02,5.05,1056.41,377.06,0.00,105.81,304.74,25.14,22.31,627.99,160.38,0.00,0.52,46.95,1056.41,467.61,16.32,148.99,200.90,2.00,142.61,6.85,97.09,11.31,63.07,535.76,144.17,240.09,5.94,122.87,108.50,65.44,3.72,90.60,70.97,27.90,3.06,80.50,75.09,28.61,780.63,0.06
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,1124.05,215.19,132.61,0.00,2195.77,182.53,17.34,2849.18,1270.11,0.00,152.85,1196.50,556.50,0.21,1036.71,444.78,0.00,0.00,13.88,2849.18,591.93,16.82,466.10,307.13,10.00,56.17,0.13,177.04,13.26,183.00,1013.56,853.48,962.91,232.27,150.60,,,,290.73,,,,257.10,,,14913.32,0.09
Afcom Holdings,544224,,INE0OXY01013,Transport Services,Logistics Solution Provider,715.00,26.05,24.86,0.00,195.51,26.17,-0.12,275.44,18.21,0.00,0.77,17.45,0.00,0.00,101.95,25.28,0.00,0.00,7.30,275.44,76.67,0.00,15.80,62.45,10.00,0.09,0.00,8.66,1.80,18.47,35.25,0.42,0.67,12.22,21.78,,,,0.04,,,,0.26,,,1863.87,0.12
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1267.75,38.43,28.10,0.00,3228.04,0.00,82.10,3914.00,1580.08,0.00,359.12,1413.47,0.00,113.36,2259.36,625.21,0.00,0.00,313.64,3914.00,1634.15,3.31,0.00,353.27,2.00,1059.85,0.00,433.15,14.02,182.63,1331.47,1144.36,1405.11,98.13,514.17,102.59,3.04,,148.64,67.50,0.00,,699.33,162.77,27.46,17844.52,0.01
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,479.75,459.90,12.94,0.00,2204.25,502.42,50.34,3363.91,3034.49,0.00,1002.08,2032.25,100.87,10.29,1086.93,734.83,0.00,35.05,308.09,3363.91,352.10,0.98,494.83,490.66,2.00,15.41,12.11,194.64,6.47,616.13,400.76,1969.82,2842.08,52.39,631.58,276.28,241.76,155.74,1163.32,995.10,1230.02,751.43,1529.08,1819.68,1681.07,3103.85,0.21
AGI Infra,539042,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",300.85,142.58,12.22,0.00,324.70,0.00,137.42,1264.55,337.96,0.00,61.96,282.67,0.00,0.00,965.28,823.52,0.00,0.00,28.54,1264.55,141.76,0.00,878.39,2.77,1.00,14.74,0.00,17.75,12.22,137.68,20.21,251.99,296.28,0.00,25.51,83.27,77.78,53.00,41.90,104.99,91.67,30.00,121.87,28.53,14.84,3760.58,0.42
Agribio Spirits,539546,,INE679E01015,Beverages,Breweries & Distilleries,253.00,14.19,10.88,0.00,55.08,1.49,0.37,81.99,0.73,0.00,0.51,0.19,2.39,52.90,26.25,1.82,0.00,0.08,0.00,81.99,24.43,0.00,0.00,2.08,10.00,0.91,0.00,1.06,0.77,2.39,5.48,0.30,0.73,0.00,3.51,,,,0.84,,,,0.01,,,275.37,0.22
Ahluwalia Contr.,532811,AHLUCONT,INE758C01029,Construction,Civil Construction,694.70,74.68,13.40,0.00,1910.74,14.00,62.14,3945.85,781.54,0.00,325.43,550.71,0.00,0.00,3073.54,1468.74,0.00,0.00,2507.21,3945.85,1604.80,68.93,345.16,586.79,2.00,1028.64,132.95,784.62,6.70,105.03,1416.48,336.52,600.05,7.32,676.43,451.91,310.34,37.03,53.93,91.07,29.80,173.14,227.88,226.08,189.70,4653.64,0.04
Ahm. Steelcraft,522273,,INE868C01018,Industrial Products,Iron & Steel Products,149.00,0.00,15.09,0.00,108.75,0.00,0.00,190.18,0.06,0.00,0.01,2.19,0.00,0.30,186.19,66.27,0.00,0.00,0.00,190.18,119.92,0.00,0.00,184.33,10.00,1.73,0.00,62.84,0.41,0.00,5.33,0.00,0.01,0.00,4.27,4.78,3.90,3.36,0.00,0.00,0.00,0.00,3.97,4.39,1.69,224.87,0.00
Aimtron,,AIMTRON,INE0RUV01018,Industrial Manufacturing,Industrial Products,772.10,0.49,20.41,0.00,178.60,0.00,0.64,260.09,48.83,0.00,17.90,31.55,0.00,0.00,228.31,60.32,0.00,0.00,20.91,260.09,167.99,0.00,83.17,47.50,10.00,27.33,5.22,23.66,1.50,14.59,41.32,22.61,35.87,0.00,,,,,,,,,,,,1591.22,0.00
Airfloa Rail,544516,,INE0XBS01012,Industrial Manufacturing,Industrial Products,272.10,57.07,17.46,0.00,185.76,57.39,2.59,320.20,65.08,0.00,28.32,39.05,0.00,0.01,271.84,104.45,0.00,0.00,0.40,320.20,167.39,0.00,67.20,142.07,10.00,45.05,3.01,39.28,0.50,63.81,16.95,33.65,59.96,0.00,18.31,,,,70.66,,,,36.76,,,652.22,0.27
Ajax Engineering,544356,AJAXENGG,INE274Y01021,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,454.95,0.54,11.44,0.00,1241.19,0.00,1.77,1459.45,225.68,0.00,49.91,174.54,35.02,709.94,1143.43,194.51,0.00,656.49,31.48,1459.45,948.92,0.54,228.09,196.33,1.00,37.07,9.22,117.68,11.44,8.24,100.91,167.20,208.00,17.35,113.64,80.49,,,7.16,15.26,,,157.23,0.00,,5204.93,0.00
Akiko,,AKIKO,INE0PMR01017,Finance,Other Financial Services,221.50,5.94,10.77,0.00,39.09,0.82,1.54,78.92,7.61,0.00,2.50,6.45,0.00,0.14,71.53,25.55,0.00,0.00,0.11,78.92,45.98,0.00,0.00,49.01,10.00,1.81,0.04,12.15,,,,,,,,,,,,,,,,,,238.55,0.12
Akums Drugs,544222,AKUMS,INE09XN01023,Pharmaceuticals & Biotechnology,Pharmaceuticals,475.15,90.28,30.62,0.00,3118.12,13.66,74.56,5159.29,2241.71,0.00,844.34,1420.59,158.11,0.14,3293.49,832.95,0.00,0.00,91.55,5159.29,2460.54,80.44,648.36,746.23,2.00,1654.40,23.10,610.09,14.31,565.22,730.34,1190.77,1881.94,195.41,591.64,514.02,,325.62,394.98,174.85,,254.78,1020.54,644.94,,7478.59,0.03
Alacrity Sec.,535916,,INE030P01017,Finance,Other Financial Services,57.00,3.38,46.66,0.00,60.95,4.84,0.00,131.04,6.77,0.00,2.40,6.79,0.00,23.49,103.05,21.79,0.00,0.00,5.99,131.04,81.26,0.00,55.16,0.00,10.00,14.06,0.00,6.12,2.11,1.98,28.53,0.86,3.29,0.00,26.37,8.99,20.95,20.78,11.91,15.68,5.76,7.84,0.96,0.98,1.00,265.96,0.03
Albert David,524075,ALBERTDAVD,INE155C01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,665.00,41.42,5.71,0.00,388.19,10.05,2.27,532.94,253.40,0.00,154.62,95.40,5.21,276.67,397.14,123.92,0.00,31.59,4.62,532.94,273.22,1.90,51.46,41.58,10.00,25.20,0.75,28.50,0.57,3.32,18.29,83.39,232.72,6.74,-10.48,22.31,33.49,33.12,5.67,2.04,27.64,30.10,87.68,91.00,82.84,379.71,0.11
Alembic,506235,ALEMBICLTD,INE426A01027,Realty,"Residential, Commercial Projects",77.21,12.58,51.36,0.00,2484.44,14.45,0.00,2726.89,459.73,0.00,50.78,426.33,0.22,2114.95,224.74,120.04,0.00,5490.21,31.90,2726.89,104.70,0.00,92.03,31.04,2.00,3.42,36.93,28.57,25.68,9.15,35.74,368.77,410.42,1.10,49.71,63.31,7.76,95.37,0.00,0.00,0.00,0.00,297.21,225.08,179.09,1982.61,0.00
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,660.25,1488.72,39.31,0.00,5279.99,117.81,1139.69,8396.93,4117.32,0.00,1593.79,2833.97,902.73,129.12,4349.78,2730.20,0.00,0.00,68.89,8396.93,1619.58,74.75,2540.70,1313.93,2.00,143.13,17.46,887.37,19.66,513.16,1623.57,2546.71,3875.19,524.36,1144.26,711.14,680.36,206.65,717.11,1747.49,707.78,263.50,1797.85,1551.84,993.38,12978.08,0.28
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,52.50,26.53,28.11,0.00,84.59,10.00,24.07,230.94,23.26,0.00,9.21,13.29,0.00,53.43,203.47,109.16,0.00,0.00,0.00,230.94,94.31,3.97,0.00,0.59,1.00,109.48,0.00,4.70,21.69,65.50,105.56,12.95,17.65,0.00,-0.47,-2.21,-7.09,-0.31,0.00,0.00,0.00,15.74,1.14,0.00,1.32,1475.75,0.24
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,923.60,60.45,24.54,0.00,2990.82,0.00,56.61,3638.34,1218.71,0.00,263.76,969.33,172.80,633.70,2475.95,489.33,0.00,0.00,4.82,3638.34,1986.62,60.45,722.51,1002.85,2.00,19.18,0.00,409.92,12.25,17.15,1477.23,805.06,1012.33,105.99,1380.59,-147.34,-1.40,,2.88,0.02,0.00,,595.03,546.25,0.00,11335.93,0.02
Alkyl Amines,506767,ALKYLAMINE,INE150B01039,Chemicals & Petrochemicals,Specialty Chemicals,1254.05,1.57,10.23,0.00,1432.92,3.60,1.92,1766.99,1342.24,0.00,297.74,1039.45,76.36,0.00,586.45,184.71,0.00,0.00,36.18,1766.99,401.74,1.57,151.75,233.59,2.00,165.46,7.71,123.32,5.11,3.17,216.34,1089.22,1318.40,35.57,209.75,178.37,131.89,128.80,22.73,86.58,181.26,134.56,628.95,423.48,355.17,6413.71,0.00
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,142.00,0.55,20.19,0.00,135.14,0.00,0.58,196.01,16.74,0.00,11.97,4.38,1.84,13.63,172.37,36.06,0.00,0.00,0.00,196.01,136.31,0.00,0.00,19.01,10.00,138.95,0.00,8.19,2.02,0.00,111.18,3.62,14.45,0.00,39.63,21.88,,,0.06,0.20,,,1.11,2.38,,286.76,0.00
All Time Plastic,544479,ALLTIME,INE0GV601021,Consumer Durables,Houseware,205.85,132.85,13.10,0.00,581.52,217.68,5.30,823.27,421.85,0.00,83.80,367.31,39.31,0.11,396.72,144.95,0.00,0.00,0.60,823.27,251.77,6.04,80.58,72.36,2.00,214.08,0.00,44.69,0.10,147.07,23.90,233.67,301.56,33.79,9.35,4.66,-0.62,,164.01,112.96,104.31,,195.69,139.19,95.92,1348.48,0.22
Alldigi Tech,532633,ALLDIGI,INE835G01018,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),728.50,81.81,15.24,0.00,232.39,0.00,63.20,412.54,194.93,0.00,93.22,120.87,0.00,85.25,265.68,93.01,0.00,82.73,2.66,412.54,172.67,81.81,0.00,75.15,10.00,51.40,0.71,44.83,1.52,44.65,108.25,78.22,149.22,0.00,108.94,145.51,84.47,15.08,42.98,23.64,0.98,14.40,55.91,34.25,24.24,1110.11,0.33
Allied Digital,532875,ADSL,INE102I01027,IT - Services,IT Enabled Services,97.85,116.78,28.26,0.00,580.49,69.67,25.24,988.07,504.02,0.00,234.35,268.17,0.00,8.93,707.44,277.83,0.00,2.25,14.43,988.07,429.61,18.48,50.46,228.47,5.00,177.62,0.00,98.10,5.53,74.80,322.95,279.03,494.26,0.00,288.26,203.51,106.43,298.01,42.56,53.60,58.01,136.03,250.13,273.21,292.65,553.00,0.19
Alpex Solar,,ALPEXSOLAR,INE0R4701017,Electrical Equipment,Other Electrical Equipment,750.25,174.26,25.54,0.00,447.36,23.13,55.70,935.56,109.40,0.00,31.50,96.19,81.47,1.87,738.40,399.65,0.00,0.00,49.44,935.56,338.75,23.96,189.17,235.67,10.00,138.06,0.00,123.77,2.45,48.96,79.47,47.43,70.87,0.01,27.52,16.31,,,26.70,19.94,,,16.97,13.02,,1916.36,0.37
Alufluoride,524634,,INE058F01019,Chemicals & Petrochemicals,Commodity Chemicals,410.75,32.29,7.82,0.00,104.87,22.55,7.69,164.52,107.54,0.00,43.98,65.26,5.25,41.27,81.82,16.93,0.00,0.00,7.27,164.52,64.89,7.37,16.23,17.53,10.00,3.67,0.00,7.31,0.78,24.15,14.04,63.09,98.09,0.90,11.37,4.56,8.67,8.57,30.15,15.03,0.00,0.00,56.14,21.43,5.31,321.22,0.29
Amagi Media Labs,544679,AMAGI,INE121R01077,IT - Services,IT Enabled Services,339.10,36.19,96.87,0.00,492.38,0.00,36.19,1425.00,142.40,0.00,50.87,91.53,0.00,265.56,1006.90,855.14,0.00,0.00,64.96,1425.00,151.76,36.19,0.07,280.94,5.00,492.02,2.82,198.20,0.09,31.48,726.18,52.47,86.17,0.00,348.06,,,,0.00,,,,7.45,,,7336.06,0.07
Amal,506597,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,465.10,0.00,12.36,0.00,101.04,0.00,0.00,138.63,109.44,0.00,29.41,78.10,0.81,31.31,57.78,23.47,0.00,0.00,0.63,138.63,34.31,0.00,5.29,19.26,10.00,0.87,0.00,13.79,1.24,23.71,-0.42,86.45,106.85,0.68,-5.92,4.87,,,51.05,4.49,,,14.43,9.50,,574.99,0.00
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,742.85,286.38,18.30,0.00,7763.31,0.00,258.34,10610.03,6261.65,0.00,2786.96,3904.03,540.78,2285.70,3752.45,2353.57,0.00,63.08,249.49,10610.03,1398.88,97.66,2255.25,1228.44,1.00,47.46,55.63,1191.66,18.30,152.67,1626.13,3550.29,5903.46,321.65,1261.95,978.69,1143.99,738.04,125.89,83.90,63.53,75.95,2492.30,1829.22,1703.25,13596.04,0.04
Ambika Cotton,531978,AMBIKCO,INE540G01014,Textiles & Apparels,Other Textile Products,1228.80,0.00,5.73,0.00,930.19,12.35,38.38,1132.54,727.76,0.00,486.73,280.31,0.00,27.49,840.08,163.88,0.00,0.59,76.72,1132.54,676.20,0.00,526.62,36.01,10.00,174.91,1.12,144.00,0.57,81.97,638.26,232.26,707.97,3.48,516.59,271.85,202.97,64.72,0.00,69.43,28.43,62.63,227.02,246.39,259.01,703.49,0.00
Ambuja Cements,500425,AMBUJACEM,INE079A01024,Cement & Cement Products,Cement & Cement Products,408.30,1270.72,494.36,0.00,55751.83,26.82,761.68,88710.18,55366.47,0.00,12788.72,56539.57,10472.91,103.91,14649.51,13647.33,0.00,1822.16,6850.85,88710.18,1002.18,938.69,5397.15,1857.82,2.00,458.50,419.67,3742.10,219.77,699.01,11078.66,32194.34,42406.07,2658.45,5793.22,5213.45,2217.24,791.09,476.57,41.06,24.12,34.03,22253.56,20701.34,20898.22,100924.54,0.02
Amic Forging,544037,,INE0P9J01013,Industrial Products,Castings & Forgings,1270.00,7.00,10.49,0.00,135.72,0.00,0.00,198.77,42.02,0.00,7.33,32.91,35.76,22.23,95.13,44.85,0.00,0.00,0.00,198.77,50.28,0.00,24.84,38.37,10.00,8.34,2.20,21.42,1.05,3.86,23.72,11.87,16.33,0.00,0.44,1.80,,,10.71,1.79,,,5.31,4.25,,1365.10,0.05
Amines & Plast.,506248,AMNPLST,INE275D01022,Chemicals & Petrochemicals,Commodity Chemicals,154.95,30.50,11.00,0.00,254.29,66.84,10.36,370.85,114.19,0.00,33.72,78.54,0.10,1.28,288.51,84.92,0.00,0.00,44.60,370.85,203.59,0.00,89.16,107.22,2.00,22.47,0.84,50.68,5.50,85.00,161.53,80.02,108.57,2.98,104.58,60.03,38.37,24.35,72.08,57.96,44.78,56.39,84.07,74.64,39.95,852.52,0.11
Amrutanjan Healt,590006,AMRUTANJAN,INE098F01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,500.00,1.94,2.89,0.00,339.18,0.00,2.08,432.36,81.24,0.00,31.83,49.03,26.41,0.04,292.17,79.26,0.00,0.05,15.77,432.36,212.91,1.94,35.50,38.30,1.00,63.12,1.23,58.00,2.89,1.73,225.76,49.53,75.20,2.39,189.66,86.76,88.97,55.55,0.88,1.69,0.00,0.00,28.45,26.10,27.54,1445.53,0.01
Anant Raj,515055,ANANTRAJ,INE242C01024,Realty,"Residential, Commercial Projects",449.15,563.47,71.98,0.00,4330.99,381.36,100.24,5445.62,1635.72,0.00,268.40,1488.76,31.22,313.43,2589.87,522.92,0.00,0.00,110.98,5445.62,2066.95,74.61,873.23,45.34,2.00,377.23,266.14,20.11,34.19,626.75,2273.78,1313.78,1552.74,21.50,1538.39,1490.59,1729.84,1126.93,1282.96,1690.59,2600.44,1356.09,1310.05,1341.63,2788.85,16163.89,0.13
ANB Metal,,AMCL,INE0VG001016,Industrial Products,"Aluminium, Copper & Zinc Products",427.00,25.63,8.63,0.00,73.57,31.25,3.08,155.05,16.40,0.00,1.69,14.44,0.00,0.00,140.61,63.40,0.00,0.00,2.23,155.05,77.21,0.00,46.54,73.48,10.00,13.68,0.03,33.72,0.30,34.13,11.27,13.88,14.71,0.00,5.46,,,,5.84,,,,1.01,,,505.35,0.30
Andhra Paper,502330,ANDHRAPAP,INE435A01051,"Paper, Forest & Jute Products",Paper & Paper Products,59.70,262.52,39.77,0.00,1886.26,208.81,74.30,2562.67,1617.41,0.00,593.67,1025.44,76.62,832.36,1169.71,423.40,43.16,115.73,61.71,2562.67,746.31,8.93,281.95,99.12,2.00,10.65,1.59,191.13,19.89,115.08,2.50,795.28,1308.67,113.73,176.81,321.80,-72.10,-177.74,59.17,9.33,207.52,502.33,585.01,680.39,741.66,1187.14,0.14
Andhra Sugars,590062,ANDHRSUGAR,INE715B01021,Chemicals & Petrochemicals,Commodity Chemicals,68.87,7.40,27.11,0.00,1609.50,12.20,1.15,2135.33,1564.94,0.00,612.49,951.00,45.96,413.17,911.56,195.58,0.00,247.07,12.94,2135.33,715.98,0.07,336.08,256.43,2.00,36.61,3.41,81.08,13.55,30.96,506.09,813.13,1346.46,181.03,562.71,496.18,352.72,324.68,55.05,260.72,255.36,335.83,712.18,710.81,650.24,933.43,0.00
Anlon Healthcare,544497,AHCL,INE0Y8W01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,116.60,57.83,53.15,0.00,161.16,24.62,41.93,309.48,35.68,0.00,12.87,21.97,0.00,18.34,287.51,61.89,0.91,0.00,1.15,309.48,225.62,0.00,56.53,107.45,10.00,24.94,0.94,16.56,1.60,81.25,49.76,27.30,38.39,0.00,27.09,,,,62.39,,,,27.23,,,619.77,0.27
