Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Sonata Software,532221,SONATSOFTW,INE269A01021,IT - Software,Computers - Software & Consulting,231.35,2748.28,,,134.46,84.96,204.12,89.92,34.58,37.47,40.63,39.95,33.03,-6.38,32.61,7.96,8.44,165808.00,59.88,60.60,63.72,68.26,12.16,10.18,31.59,18.85,27.69,23.30,7774.93,1726.70,3290.21,1876.44,-34.08,-4.05,12.51,1,6487.66,0.42
Speciality Rest.,534425,SPECIALITY,INE247M01014,Leisure Services,Restaurants,91.50,15.66,8.20,18.78,18.46,0.47,4.27,0.37,11.51,7.29,4.94,1.60,4.74,21.37,-0.04,16.24,10.71,23201.00,17.61,6.93,6.09,2.36,4.31,9.23,27.32,28.04,27.13,27.13,758.60,107.06,578.28,825.52,-39.33,0.20,-1.68,1,441.36,0.43
SPML Infra,500402,SPMLINFRA,INE937A01023,Construction,Civil Construction,159.60,2.68,2.51,17.79,21.13,,0.00,,5.04,3.72,5.53,8.29,2.89,36.52,2.69,1.68,6.24,14081.00,0.00,468.04,163.10,100.05,0.43,0.84,44.72,35.04,46.86,35.24,227.09,18.87,324.17,270.66,60.97,0.24,-0.86,1,1257.98,0.44
Sportking India,539221,SPORTKING,INE885H01029,Textiles & Apparels,Other Textile Products,112.00,3.21,3.69,2.88,3.57,56.66,3.86,45.99,13.47,23.01,19.37,16.36,22.89,19.72,21.39,14.85,13.47,26904.00,6.98,69.69,53.13,47.80,12.23,6.51,12.10,7.43,10.04,7.74,1437.45,67.21,19.79,,79.59,0.02,0.00,1,1423.20,0.48
Sr.Rayala.Hypo,532842,SRHHYPOLTD,INE917H01012,Chemicals & Petrochemicals,Commodity Chemicals,420.00,9.24,14.31,10.80,9.45,19.62,5.66,26.26,19.00,20.87,19.08,16.61,14.50,-1.51,13.77,12.49,12.57,45959.00,5.47,38.04,45.71,43.45,12.81,11.91,8.94,8.72,8.77,8.22,812.75,125.73,235.96,65.49,63.67,-0.68,0.01,1,720.92,0.01
Sreeleathers,535601,SREEL,INE099F01013,Consumer Durables,Footwear,182.00,7.38,4.69,9.62,7.66,0.00,0.00,0.00,8.80,7.64,9.22,9.45,6.52,-11.35,6.54,17.38,19.49,11279.00,0.00,0.87,0.70,1.48,5.27,6.06,24.57,24.67,24.56,23.51,457.89,311.80,565.99,465.62,2.41,1.59,0.00,1,421.41,0.00
Sri Lotus,544469,LOTUSDEV,INE0V9Q01010,Realty,"Residential, Commercial Projects",113.50,,,,,,,,26.45,26.45,26.45,26.45,,,,,,,0.00,41.88,64.50,,,16.26,34.40,34.40,34.40,34.40,,,,,343.84,,,1,5547.03,0.08
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,391.50,32.60,,,,,0.00,,31.41,33.17,33.17,33.17,,,,13.06,,18668.00,0.00,22.44,26.40,,,15.40,18.43,18.43,18.43,18.43,,,,,46.40,,,1,898.27,0.20
Stallion India,544342,STALLION,INE0RYC01010,Chemicals & Petrochemicals,Industrial Gases,109.10,3.70,,,,,0.00,,20.06,28.91,28.91,28.91,,,,11.91,,48538.00,0.00,55.92,93.95,,,10.63,37.52,37.52,37.52,37.52,,,,,134.06,,,1,1266.50,0.00
Standard Engineering Technology,544333,SETL,INE0M4D01010,Industrial Manufacturing,Industrial Products,112.30,,,,,0.25,,0.92,27.63,27.63,27.63,27.63,,,,,,,0.00,124.87,99.39,,,12.28,41.18,41.18,41.18,41.18,,,,,172.01,,,1,2240.32,0.18
Star Cement,540575,STARCEMENT,INE460H01021,Cement & Cement Products,Cement & Cement Products,214.80,4.61,3.02,2.43,3.52,1.23,0.00,1.23,13.89,13.42,14.67,14.93,11.83,-17.62,13.22,17.94,20.96,70804.00,0.00,21.15,18.69,24.20,8.18,7.20,29.83,18.75,23.84,20.84,3621.46,2810.70,4867.25,,-1.78,1.94,-1.67,1,8681.79,0.21
Star Health Insu,543412,STARHEALTH,INE575P01011,Insurance,General Insurance,443.00,,,,,12.10,0.00,,14.79,-7.50,0.08,9.61,1.34,-12.86,2.75,0.38,1.89,217516.00,0.00,0.00,0.00,0.00,-1.81,4.22,42.73,43.42,43.42,43.42,40887.97,,,,-254.99,-21.45,19.70,1,26066.06,0.06
Star Paper Mills,516022,STARPAPER,INE733A01018,"Paper, Forest & Jute Products",Paper & Paper Products,129.00,2.89,1.87,5.29,6.93,0.91,5.78,0.56,12.66,10.33,10.49,16.02,8.51,-4.69,10.23,11.74,13.74,17204.00,11.64,6.64,3.33,3.85,6.46,8.02,5.41,5.43,6.02,5.60,248.02,110.12,311.78,30.36,62.37,-0.05,0.00,1,201.37,0.01
Steelcast,513517,STEELCAS,INE124E01038,Industrial Products,Castings & Forgings,222.65,2.69,2.43,4.16,2.22,54.62,11.66,45.72,38.45,30.48,27.05,22.12,24.23,28.96,22.09,25.18,22.81,12262.00,22.68,90.83,78.80,51.55,17.64,22.68,22.49,23.55,22.70,21.46,705.16,157.77,349.14,69.69,80.92,-0.03,2.23,1,2253.22,0.00
STEL Holdings,533316,STEL,INE577L01016,Finance,Investment Company,429.80,,,,,,0.00,,1.65,1.88,1.93,1.68,1.43,-18.58,1.39,96.58,85.90,21853.00,0.00,0.00,0.00,0.00,1.38,1.19,46.12,33.12,45.06,31.37,212.05,71.05,183.26,43.28,-118.20,-0.03,-0.05,1,793.22,0.00
Stellant Secu.,526071,,INE395F01023,Finance,Other Financial Services,640.00,,1.50,0.46,1.04,0.00,0.00,0.00,44.45,25.49,14.73,9.73,17.34,29.95,9.34,74.81,15.50,784.00,0.00,,0.00,0.00,19.78,34.90,8.30,8.30,8.30,8.30,0.57,0.44,0.26,2.04,24.27,0.00,-0.19,1,236.97,0.00
Sterling Tools,530759,STERTOOLS,INE334A01023,Auto Components,Auto Components & Equipments,172.45,2.33,1.80,3.57,,10.05,5.77,6.63,14.05,12.10,13.32,17.37,11.24,3.85,13.22,12.34,14.42,39185.00,13.49,44.94,32.29,28.13,6.54,7.69,25.51,25.79,25.67,25.13,488.67,476.96,1308.40,189.33,36.69,0.09,-5.19,1,626.76,0.32
Stove Kraft,543260,STOVEKRAFT,INE00IN01015,Consumer Durables,Household Appliances,513.30,4.21,4.16,4.39,4.26,8.81,3.64,10.12,11.59,17.09,14.66,9.02,,,,9.60,7.36,55179.00,16.66,31.13,37.50,56.14,7.15,3.78,54.60,48.20,47.51,48.20,2017.92,,,,-7.22,-4.63,-1.33,1,1699.39,0.40
Stovec Inds.,504959,,INE755D01015,Industrial Manufacturing,Industrial Products,1614.00,3.22,4.11,3.82,3.55,18.23,16.93,17.74,9.28,13.61,15.71,22.89,11.86,-11.72,15.13,9.68,13.51,7365.00,208.03,36.34,58.43,59.33,8.07,5.40,50.46,21.88,40.25,26.47,480.22,417.13,507.19,534.21,85.21,0.00,0.00,1,337.33,0.00
String Metaverse,534535,,INE958L01026,IT - Services,IT Enabled Services,114.95,,0.11,,,,,,20.72,11.72,8.56,8.56,,83.60,,,,2022.00,0.00,,2.45,191.64,,,60.33,60.33,60.33,60.33,,6.07,2.84,5.06,25.09,,,1,1338.39,0.00
Studds Accessor.,544599,STUDDS,INE00Q601028,Auto Components,Auto Components & Equipments,475.00,7.56,,,,21.03,7.87,11.23,18.92,17.39,17.39,17.39,,,,16.50,,,17.21,22.22,23.10,,,10.94,29.51,29.51,29.51,29.51,,,,,10.88,,,1,1869.29,0.02
Styrenix Perfor.,506222,STYRENIX,INE189B01011,Chemicals & Petrochemicals,Specialty Chemicals,1901.10,,,,,0.91,,0.45,26.53,26.53,26.53,26.53,,,,,,45703.00,,,51.30,,,,23.80,70.26,79.16,72.07,1715.21,909.62,1507.17,1173.84,62.76,-0.20,11.30,1,3344.02,0.26
Subros,517168,SUBROS,INE287B01021,Industrial Products,Other Industrial Products,654.80,5.65,5.11,6.20,5.18,0.01,8.87,17.81,14.95,11.97,13.08,12.90,9.02,13.11,9.45,7.90,9.02,48934.00,12.31,36.91,36.55,34.67,4.64,5.87,41.20,41.13,43.05,41.71,2137.78,852.63,1747.17,340.74,5.97,32.16,-2.10,1,4271.64,0.02
Sudarshan Colorants,506390,SUDARCOLOR,INE492A01029,Chemicals & Petrochemicals,Dyes And Pigments,311.20,3.97,3.56,2.73,5.10,36.70,94.63,33.73,12.85,12.21,10.90,9.22,7.46,8.22,6.10,9.15,7.48,43936.00,0.00,73.18,87.22,71.30,5.61,5.76,29.01,31.51,28.36,27.52,1052.76,524.65,1236.26,2311.46,77.75,-0.19,-2.00,1,718.30,0.04
Sudeep Pharma,544619,SUDEEPPHRM,INE0QPI01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,609.55,5.09,6.45,,,65.58,,66.71,35.65,35.69,35.69,35.69,,8.02,,,,,,113.77,124.83,89.97,,,43.46,43.46,43.46,43.46,,,,,121.04,,,1,6884.80,0.20
Suditi Industrie,521113,,INE691D01012,Textiles & Apparels,Other Textile Products,75.65,2.47,0.99,2.05,,,0.00,,-177.85,-109.75,-70.45,-49.53,,99.89,,-17.56,-3.82,6480.00,0.00,115.00,119.38,168.84,-21.40,-19.30,29.64,73.41,29.64,27.74,123.10,21.98,150.68,57.65,-72.26,0.00,0.00,1,356.44,0.18
Sumitomo Chemi.,542920,SUMICHEM,INE258G01013,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,379.45,2.08,2.25,2.04,2.41,27.96,100.83,21.97,25.40,28.54,28.01,28.79,20.52,-1.38,20.24,18.87,16.76,125812.00,34.50,100.56,93.19,127.70,14.13,13.60,51.69,52.05,51.37,52.05,22386.68,9219.22,,,164.12,0.93,3.13,1,18940.09,0.02
Summit Securitie,533306,SUMMITSEC,INE519C01017,Finance,Investment Company,1435.60,,,,,,0.00,,1.19,1.16,1.40,4.37,1.06,-18.92,1.50,94.93,93.92,53795.00,0.00,0.00,0.00,0.00,0.77,0.80,24.61,15.37,22.39,18.65,649.04,299.64,861.30,246.65,-11.26,-0.55,0.10,1,1565.04,0.00
Sun Pharma.Inds.,524715,SUNPHARMA,INE044A01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,1764.45,1.23,1.10,1.15,1.14,68.22,2807.18,59.86,17.99,16.86,14.95,15.24,13.99,13.14,14.06,26.95,26.20,689623.00,33.84,99.00,90.12,104.72,10.80,12.18,35.32,30.40,31.85,30.73,219479.17,84528.57,118790.49,212066.47,53.55,-0.75,1.64,1,423350.66,0.07
Sun TV Network,532733,SUNTV,INE424H01027,Entertainment,TV Broadcasting & Software Production,600.25,,,80.08,23.29,6.10,516.24,6.01,24.03,25.76,28.60,31.19,20.22,-7.04,21.04,61.09,62.49,114865.00,34.55,149.27,120.23,141.78,17.70,16.60,13.59,14.28,13.02,13.22,19304.23,11268.85,33442.02,17412.63,75.76,-3.97,6.85,1,23654.94,0.01
Sundaram Brake,590072,SUNDRMBRAK,INE073D01013,Auto Components,Auto Components & Equipments,540.00,4.65,3.91,4.73,4.84,38.89,0.28,42.37,6.18,4.45,5.05,4.84,3.89,11.95,3.51,2.97,3.06,8612.00,6.40,79.71,74.80,74.49,1.42,1.64,51.90,36.52,41.63,28.23,134.21,62.62,198.85,122.56,32.21,0.00,0.00,1,212.46,0.41
Sundram Fasten.,500403,SUNDRMFAST,INE387A01021,Auto Components,Auto Components & Equipments,795.00,3.04,2.56,3.48,3.13,33.44,142.15,31.99,18.34,18.38,19.27,21.15,17.53,-2.34,19.10,16.08,15.86,76097.00,30.77,74.83,81.12,63.82,10.63,10.79,44.60,36.63,41.30,39.50,18907.35,6146.26,11584.38,3666.74,68.05,-1.65,5.07,1,16705.22,0.18
Sundrop Brands,500215,SUNDROP,INE209A01019,Agricultural Food & other Products,Edible Oil,611.65,4.02,5.62,5.71,4.15,0.16,5.85,0.15,2.48,4.90,6.84,8.51,5.02,-14.21,5.70,5.17,6.34,15960.00,39.57,31.60,33.90,32.74,3.35,2.30,125.52,64.79,109.09,92.99,2044.10,931.64,1550.01,1555.61,55.71,-7.52,-4.29,1,2305.72,0.01
Sunflag Iron,500404,SUNFLAG,INE947A01014,Industrial Products,Iron & Steel Products,209.55,2.73,2.43,3.09,2.86,1.68,2.70,1.00,7.17,9.64,10.58,12.21,5.76,-21.72,6.38,12.39,11.81,65542.00,2.78,37.38,35.77,46.01,4.71,3.25,24.86,11.86,16.73,11.74,1134.48,436.13,1354.35,427.12,33.10,0.16,0.13,1,3776.51,0.07
Sunita Tools Ltd,544001,,INE0Q1S01010,Industrial Manufacturing,Industrial Products,925.00,0.58,0.40,,,,0.00,,24.88,21.99,21.99,21.99,,,,28.67,,1007.00,0.00,116.65,175.19,92.95,9.66,13.49,73.25,73.25,73.25,73.25,,,,,258.87,,,0,580.94,0.14
Sunlite Recycli.,,SUNLITE,INE0U2N01013,Industrial Products,"Aluminium, Copper & Zinc Products",349.95,,,,,,,,34.04,34.04,34.04,34.04,,,,,,821.00,0.00,,4.42,,,,13.12,13.12,13.12,13.12,,,,,6.21,,,0,483.13,0.31
Sunrakshakk Inds,539300,,INE671K01027,Textiles & Apparels,Other Textile Products,234.30,,,,,,,,21.93,21.93,21.93,21.93,,,,,,3857.00,,,62.58,,,,33.46,33.46,33.46,33.46,31.98,5.47,19.05,,12.15,0.00,0.00,1,726.49,0.27
Sunteck Realty,512179,SUNTECK,INE805D01034,Realty,"Residential, Commercial Projects",295.30,-0.18,0.05,0.00,0.00,,21.43,,4.50,4.16,5.42,6.40,2.98,12.19,4.08,20.65,29.39,56263.00,513.43,192.30,129.98,241.14,0.89,0.93,42.88,35.92,121.46,84.74,6396.20,3074.54,6222.78,1570.98,1610.69,0.74,-0.46,1,4325.82,0.16
Supershakti Met.,541701,,INE00SY01011,Industrial Products,Iron & Steel Products,220.00,,,,,0.31,,2.50,7.06,7.06,7.06,7.06,,,,,,148.00,,,2.94,,,,20.94,20.94,20.94,20.94,466.77,345.76,,,0.58,3.05,0.00,0,253.56,0.00
Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals,Petrochemicals,643.60,12.60,8.11,10.49,10.20,8.41,170.37,6.75,27.55,44.15,35.93,36.02,26.59,2.30,26.15,13.12,10.56,44598.00,46.17,29.87,25.43,33.24,21.08,13.80,33.89,22.17,25.78,24.37,8700.26,1255.46,3103.05,873.90,7.97,1.56,1.65,1,12102.33,0.06
Supreme Power,,SUPREMEPWR,INE0QHG01026,Electrical Equipment,Other Electrical Equipment,159.80,0.01,0.01,3.76,,,0.00,,45.20,32.68,28.85,28.85,26.83,29.01,,14.48,,3325.00,0.00,139.97,140.98,129.45,12.11,19.36,26.24,26.24,26.24,26.24,,,,,82.91,,,0,399.36,0.28
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,563.50,2.55,2.25,4.68,,80.45,5.62,82.89,22.72,34.21,36.75,33.86,24.79,-19.24,,35.97,,89394.00,5.02,79.31,69.64,60.47,20.22,14.58,28.61,25.35,25.35,25.35,3970.22,,,,156.47,-1.05,-2.89,1,4535.20,0.00
Suraj,531638,SURAJLTD,INE713C01016,Industrial Products,Iron & Steel Products,225.00,,,1.60,,74.51,,67.53,18.40,18.40,14.24,14.24,,,,,,2991.00,11.17,,40.66,,,,26.63,51.43,56.13,46.44,120.21,45.85,86.40,96.80,28.23,0.00,0.00,1,413.19,0.32
Suraj Products,518075,,INE069E01019,Industrial Products,Iron & Steel Products,207.00,3.92,3.99,3.38,2.01,,1.53,,23.41,22.90,19.15,15.51,22.14,4.20,19.74,14.95,14.38,11930.00,8.54,9.77,13.20,19.06,13.59,14.73,17.25,7.94,10.81,6.75,129.05,10.61,21.66,23.01,51.78,0.00,0.00,1,235.98,0.08
Surya Roshni,500336,SURYAROSNI,INE335A01020,Industrial Products,Iron & Steel Products,199.95,6.76,4.94,5.71,5.21,15.97,49.80,11.79,21.44,18.59,16.66,15.28,14.34,11.74,13.52,7.08,7.05,61302.00,20.69,41.81,37.10,46.57,9.00,10.99,17.81,14.38,16.41,14.53,2249.33,342.28,2075.47,490.24,56.30,3.89,1.80,1,4351.64,0.05
Suven Life Scie.,530239,SUVEN,INE495B01038,Healthcare Services,"Healthcare Research, Analytics & Technology",128.65,0.00,0.00,1.29,2.37,44.76,0.00,69.07,-58.70,-70.54,-58.66,-35.86,-43.24,-24.89,-13.26,-1086.16,-15.94,63537.00,0.00,40.08,45.18,65.65,-63.50,-54.80,,3.20,,2.88,1862.57,376.26,203.12,348.39,-24.55,0.36,4.51,1,3392.77,0.00
Suzlon Energy,532667,SUZLON,INE040H01021,Electrical Equipment,Heavy Electrical Equipment,40.50,2.00,0.77,1.03,1.92,5.63,0.00,16.59,25.81,21.70,7.56,13.15,,,,15.52,10.42,5468871.00,0.00,76.36,101.14,167.54,4.66,11.62,86.14,57.15,86.14,86.14,9586.16,1178.97,6474.43,11531.34,80.61,16.08,3.41,1,55097.91,0.05
Swadeshi Inds,506863,,INE716M01034,Industrial Products,Packaging,89.30,,,12.18,0.93,0.00,0.00,0.00,1.62,-2.50,-3.39,-2.32,-3.77,39.42,-2.52,-8.41,-7.21,10567.00,0.00,171.76,198.50,93.59,-2.48,1.11,45.09,125.28,45.09,45.09,1.70,0.80,14.04,43.74,1009.29,0.00,0.00,1,206.53,0.00
Swan Corp,503310,SWANCORP,INE665A01038,Chemicals & Petrochemicals,Petrochemicals,316.90,2.14,1.37,2.01,0.48,1.60,2.80,0.73,3.00,1.99,2.16,2.29,-1.88,,-1.77,8.97,9.13,137945.00,-0.96,160.14,230.82,57.97,-0.54,0.58,49.27,65.18,49.27,49.27,5126.59,2462.11,4353.88,1369.10,63.27,-7.46,9.90,1,9933.45,0.34
Swiggy,544285,SWIGGY,INE00H001014,Retailing,E-Retail/ E-Commerce,276.50,115.31,26.74,,,,0.00,,-30.08,-38.92,-38.92,-38.92,,-45.10,,-33.05,,423592.00,0.00,71.14,45.74,12.83,-31.70,-25.91,,,,,,,,,13.13,,,1,76322.67,0.25
Symphony,517385,SYMPHONY,INE225D01027,Consumer Durables,Household Appliances,744.80,3.92,4.22,4.57,4.32,20.19,62.36,11.91,23.48,20.78,22.04,30.94,19.79,2.79,23.15,15.79,18.62,148974.00,44.18,72.96,40.38,40.05,11.65,13.00,43.94,55.26,50.87,52.46,7680.58,5447.55,12535.25,3482.71,5.82,1.29,-2.48,1,5114.68,0.01
Syngene Intl.,539268,SYNGENE,INE398R01022,Healthcare Services,"Healthcare Research, Analytics & Technology",407.25,6.81,13.77,8.85,,87.14,38.16,90.38,14.34,14.07,14.82,14.82,13.80,-9.45,,29.28,,128806.00,10.27,71.16,53.16,72.24,8.13,8.09,57.09,55.25,57.30,56.12,23951.60,9606.00,11944.00,,-30.59,-1.91,18.80,1,16409.70,0.12
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,749.75,3.84,3.78,,,54.77,15.97,70.04,12.16,13.59,13.59,13.59,,-14.84,,8.51,,134503.00,20.91,78.45,107.24,76.39,6.06,5.00,70.71,66.05,66.05,66.05,,,,,38.08,1.54,8.32,1,14457.44,0.12
Syschem (India),531173,,INE121D01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,44.52,1.85,2.37,4.65,0.51,9.64,0.00,9.64,16.72,1.88,1.23,-0.27,-0.06,15.26,-1.77,1.98,2.10,13445.00,0.00,20.54,119.69,46.78,-0.35,2.77,58.65,42.90,52.10,48.81,30.73,16.36,21.17,13.11,46.96,0.00,0.16,1,218.19,0.00
Systango Tech,,SYSTANGO,INE0O7R01011,IT - Software,Computers - Software & Consulting,246.00,,,,,95.01,0.00,,32.78,48.79,48.79,48.79,,-14.50,,30.43,,3568.00,0.00,2.57,66.17,0.00,31.23,23.98,19.51,19.65,19.65,19.65,,,,,67.89,,,0,360.85,0.00
Systematix Corp.,526506,SYSTMTXC,INE356B01024,Capital Markets,Stockbroking & Allied,58.19,,,0.00,0.09,9.43,0.80,1.27,26.95,21.54,16.67,14.17,15.23,40.98,13.55,32.37,31.64,10346.00,1.82,165.73,53.37,41.38,9.30,12.27,36.39,33.12,36.73,35.65,530.62,54.52,32.97,21.12,-100.89,5.03,0.00,1,794.49,0.06
T N Petro Prod.,500777,TNPETRO,INE148A01019,Chemicals & Petrochemicals,Petrochemicals,81.21,10.69,9.17,10.29,8.02,,16.91,,10.42,18.55,18.51,16.30,13.19,-18.21,11.30,7.93,7.46,137648.00,18.13,22.65,20.68,14.85,10.54,5.93,12.98,6.81,9.65,6.86,1027.02,223.13,441.76,128.21,14.82,-0.69,-0.03,1,730.64,0.33
T R I L,532928,TARIL,INE763I01026,Electrical Equipment,Heavy Electrical Equipment,277.65,3.89,2.54,2.90,2.56,15.07,2.83,13.49,19.19,15.44,13.28,12.24,10.39,187.60,8.42,10.93,9.91,99687.00,4.70,164.86,141.53,217.99,4.53,6.80,78.76,32.36,51.57,37.13,436.88,72.37,356.03,303.16,73.65,7.01,4.18,1,8334.12,0.27
T.V. Today Netw.,532515,TVTODAY,INE038F01029,Entertainment,TV Broadcasting & Software Production,97.50,,15.98,5.88,16.66,11.88,103.81,10.55,12.22,15.94,18.67,22.00,12.67,-11.74,13.91,17.07,21.31,56524.00,195.75,75.33,91.88,93.73,8.92,6.44,19.59,14.27,13.13,12.88,2216.99,992.59,2914.67,1293.78,165.47,1.92,-12.27,1,581.75,0.02
TAC Infosec,,TAC,INE0SOY01013,IT - Software,Computers - Software & Consulting,413.50,,,,,47.95,,40.28,43.69,43.69,43.69,43.69,,,,,,1043.00,,,237.49,,,,81.32,81.32,81.32,81.32,,,,,155.75,,,0,869.43,0.01
TajGVK Hotels,532390,TAJGVK,INE586B01026,Leisure Services,Hotels & Resorts,295.05,6.29,3.02,7.83,,7.16,5.64,6.84,20.57,13.08,12.17,11.34,10.52,22.59,8.47,28.01,25.67,84427.00,9.19,15.40,17.82,18.27,6.64,12.81,20.93,32.36,21.07,22.56,956.82,648.33,1032.38,432.33,-39.41,0.40,-0.39,1,1850.01,0.12
Talbros Auto.,505160,TALBROAUTO,INE187D01029,Auto Components,Auto Components & Equipments,227.10,3.03,2.44,2.66,1.73,26.95,3.46,28.63,19.98,18.22,16.42,15.27,14.84,18.31,14.02,14.00,12.54,68875.00,4.69,95.78,100.71,118.59,8.51,9.87,19.72,17.75,17.67,15.71,561.47,86.57,345.03,173.93,47.64,0.52,0.07,1,1401.88,0.13
Taneja Aerospace,522229,,INE692C01020,Aerospace & Defense,Aerospace & Defense,238.85,38.86,5.60,1.11,5.27,,5.56,0.29,15.36,13.52,12.14,9.61,8.72,16.92,6.15,56.08,38.62,41055.00,72.56,83.41,68.81,71.42,8.12,9.64,55.76,46.83,42.99,34.29,274.27,37.97,123.63,96.71,23.96,-0.46,0.09,1,609.07,0.00
Tanfac Inds.,506854,,INE639B01023,Chemicals & Petrochemicals,Commodity Chemicals,1892.65,5.67,3.73,5.42,5.03,4.83,6.29,7.55,40.89,44.93,48.60,39.36,34.66,1.35,,21.85,19.80,17701.00,11.69,28.41,57.82,39.73,23.69,22.42,40.13,15.37,30.71,20.54,581.70,79.16,113.56,14.70,55.55,0.03,0.26,1,3775.83,0.09
Tanla Platforms,532790,TANLA,INE483C01032,IT - Software,Software Products,410.70,,,,0.01,31.67,102.33,6.54,35.14,43.19,27.86,20.53,26.19,24.85,21.96,18.71,16.79,280102.00,30.43,63.79,72.07,61.20,21.45,18.30,20.25,23.87,22.36,23.24,20714.08,707.23,343.45,166.93,28.56,-5.68,0.23,1,5446.59,0.03
Tata Chemicals,500770,TATACHEM,INE092A01019,Chemicals & Petrochemicals,Commodity Chemicals,603.95,2.39,2.16,2.18,3.16,2.01,336.56,2.69,7.80,7.15,11.42,11.70,10.63,-53.37,11.82,17.78,18.80,687065.00,93.78,55.90,49.56,55.68,3.22,3.43,43.80,11.54,34.40,18.80,24826.44,5696.05,7690.12,5037.14,-4.73,-2.17,3.43,1,15386.24,0.34
Tata Consumer,500800,TATACONSUM,INE192A01025,Agricultural Food & other Products,Tea & Coffee,1027.60,2.84,3.19,2.68,2.28,5.20,654.12,4.51,9.71,9.28,9.09,8.61,6.78,3.48,6.43,13.99,12.95,963475.00,64.42,24.53,20.23,34.93,5.04,5.09,79.50,65.15,78.66,72.50,73484.20,27870.71,16750.06,9435.47,-4.19,-4.40,8.34,1,101687.37,0.13
Tata Inv.Corpn.,501301,TATAINVEST,INE672A01026,Finance,Investment Company,589.15,,,,,,184.18,,1.43,1.45,1.48,3.29,1.29,-2.04,1.60,89.30,87.79,158767.00,59.00,77.54,9.55,2.56,1.22,1.18,89.71,37.80,50.30,45.07,6863.89,3355.79,4053.71,3156.13,-9.31,1.54,0.10,1,29808.24,0.00
Tata Technolog.,544028,TATATECH,INE142M01025,IT - Services,IT Enabled Services,534.45,,,,,67.60,176.46,,27.41,24.30,23.84,23.84,19.35,6.93,,18.09,,1350826.00,43.37,79.44,81.45,92.58,11.18,12.30,49.89,49.89,49.89,49.89,,,,,51.81,,,1,21697.57,0.07
Tatva Chintan,543321,TATVA,INE0GK401011,Chemicals & Petrochemicals,Specialty Chemicals,1122.90,1.80,2.39,3.74,,78.51,5.19,70.83,5.71,14.18,17.40,17.40,11.70,-54.13,,17.54,,79009.00,22.04,47.64,72.07,68.73,9.94,3.81,87.51,81.35,81.35,81.35,5116.59,,,,110.11,0.43,-8.20,1,2626.67,0.11
TCC Concept,512038,TCC,INE887D01016,Commercial Services & Supplies,Trading & Distributors,355.00,,,,,,,,19.69,19.69,19.69,19.69,,,,,,3371.00,0.00,,213.75,,,,41.73,41.73,41.73,41.73,,,,,306.25,2.39,2.26,1,1687.24,0.05
TCI Express,540212,TCIEXP,INE586V01016,Transport Services,Logistics Solution Provider,476.00,,,,,0.00,27.64,0.08,24.97,28.86,32.39,29.99,22.27,-16.54,22.54,14.58,,53379.00,26.38,63.97,65.96,58.63,17.64,15.49,31.66,38.17,39.02,37.95,6568.23,2096.51,1813.54,,39.58,-0.91,-1.04,1,1828.75,0.01
TD Power Systems,533553,TDPOWERSYS,INE419M01027,Electrical Equipment,Heavy Electrical Equipment,825.50,2.91,2.42,3.36,4.52,32.19,14.03,38.98,25.93,21.13,16.31,11.47,13.55,37.42,9.34,15.58,11.79,100585.00,13.79,110.35,116.53,122.51,10.02,12.44,43.29,33.52,36.70,33.52,1071.86,262.53,631.39,1193.98,108.09,22.79,10.03,1,12895.53,0.04
Team India Guar.,511559,TEAMGTY,INE289C01025,Finance,Non Banking Financial Company (NBFC),280.50,,,0.00,,0.00,0.00,0.00,4.62,8.03,7.56,7.38,5.80,5.16,5.73,80.34,79.94,20848.00,0.00,29.52,0.00,0.00,6.43,3.74,65.33,37.05,50.31,37.32,49.64,12.59,36.42,20.77,225.78,2.03,0.00,1,252.18,0.00
